Field=#~Integer~#~50|Field=Case/Package~String~Case/Package~100|Field=Category~String~Category~100|Field=Description~String~Description~100|Field=LibRef~String~LibRef~100|Field=Manufacturer 1~String~Manufacturer 1~100|Field=Manufacturer Lifecycle 1~String~Manufacturer Lifecycle 1~100|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~100|Field=Quantity~Integer~Quantity~100|Field=Supplier 1~String~Supplier 1~100|Field=Supplier Currency 1~String~Supplier Currency 1~100|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~100|Field=Supplier Part Number 1~String~Supplier Part Number 1~100|Field=Supplier Stock 1~Integer~Supplier Stock 1~100|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~100|Field=Supplier Subtotal per Board 1~Float~Supplier Subtotal per Board 1~100|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~100|ReportField=Currency~USD|ReportField=ProductionQuantity~100|ReportField=ProjectFileName~Breathalyzer.PrjPCB|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\Breathalyzer\Breathalyzer.PrjPCB|ReportField=Title~Bill of Materials For Project [Breathalyzer.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~8:25:16 PM|ReportField=ReportDate~2018-12-14|ReportField=ReportDateTime~2018-12-14 8:25:16 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~73|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~New Lenox, IL 60451|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2018-12-14|ReportField=CurrentTime~7:22:47 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\Breathalyzer\Breathalyzer.SchDoc|ReportField=DocumentName~Breathalyzer.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Chris Segiet|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2018-12-14|ReportField=Organization~Chris Segiet|ReportField=ProjectName~Breathalyzer.PrjPCB|ReportField=Revision~A|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~Bluetooth Breathalyzer|ReportField=DataSourceFileName~Breathalyzer.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\Breathalyzer\Breathalyzer.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|||1x4 Header for I2C Testing|I2C Testing|{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer|1||||{URL}{URL.TEXT}{URL.TIP}Supplier||||
2|||C & K COMPONENTS         PCM12SMTR             Slide Switch, SPDT, On-On, SMD, PCM Series, 300 mA|PCM12SMTR|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DITT%2520C%2526K%26mpn%3DPCM12SMTR%26seller%3DMouser%26sku%3D611-PCM12SMTR%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}ITT%20C%26K{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DITT%2520C%2526K%26mpn%3DPCM12SMTR%26seller%3DMouser%26sku%3D611-PCM12SMTR%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}PCM12SMTR{URL.TIP}Manufacturer|1|Mouser|USD|100|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DITT%2520C%2526K%26mpn%3DPCM12SMTR%26seller%3DMouser%26sku%3D611-PCM12SMTR%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}611-PCM12SMTR{URL.TIP}Supplier|21538|72.6|0.73|0.73
3|||Conv DC-DC Single Non-Inv/Inv/Step Up/Step Down 1.8V to 5.5V 10-Pin VSON EP T/R|TPS63001DRCT|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DTPS63001DRCT%26seller%3DMouser%26sku%3D595-TPS63001DRCT%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Texas%20Instruments{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DTPS63001DRCT%26seller%3DMouser%26sku%3D595-TPS63001DRCT%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}TPS63001DRCT{URL.TIP}Manufacturer|1|Mouser|USD|100|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DTPS63001DRCT%26seller%3DMouser%26sku%3D595-TPS63001DRCT%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}595-TPS63001DRCT{URL.TIP}Supplier|4504|173|1.73|1.73
4|||Cylindrical Battery Contacts, Clips, Holders & Springs SMT Polarized Holder for 18650 Battery|1042P|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKeystone%2520Electronics%26mpn%3D1042P%26seller%3DDigi-Key%26sku%3D36-1042P-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Keystone%20Electronics{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKeystone%2520Electronics%26mpn%3D1042P%26seller%3DDigi-Key%26sku%3D36-1042P-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}1042P{URL.TIP}Manufacturer|1|Digi-Key|USD|100|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DKeystone%2520Electronics%26mpn%3D1042P%26seller%3DDigi-Key%26sku%3D36-1042P-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}36-1042P-ND{URL.TIP}Supplier|3160|180.6|1.81|1.81
5|||ESP32 Module|ESP32-WROOM-32D|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DEspressif%2520Systems%26mpn%3DESP32-WROOM-32D%26seller%3DMouser%26sku%3D356-ESP32WROOM-32D%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Espressif%20Systems{URL.TIP}Component|Unknown|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DEspressif%2520Systems%26mpn%3DESP32-WROOM-32D%26seller%3DMouser%26sku%3D356-ESP32WROOM-32D%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}ESP32-WROOM-32D{URL.TIP}Manufacturer|1|Mouser|USD|100|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DEspressif%2520Systems%26mpn%3DESP32-WROOM-32D%26seller%3DMouser%26sku%3D356-ESP32WROOM-32D%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}356-ESP32WROOM-32D{URL.TIP}Supplier|0|380|3.8|3.8
6|||IC REG BUCK BOOST 5V 1.6A 10SON|TPS63002DRCR|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DTPS63002DRCR%26seller%3DMouser%26sku%3D595-TPS63002DRCR%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Texas%20Instruments{URL.TIP}Component|Volume Production|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DTPS63002DRCR%26seller%3DMouser%26sku%3D595-TPS63002DRCR%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}TPS63002DRCR{URL.TIP}Manufacturer|1|Mouser|USD|100|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DTPS63002DRCR%26seller%3DMouser%26sku%3D595-TPS63002DRCR%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}595-TPS63002DRCR{URL.TIP}Supplier|3438|150|1.5|1.5
7|||P-Channel MOSFET 045R at VGS=-4.5V ID = -4.3A|DMP2045U-7|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DDiodes%26mpn%3DDMP2045U-7%26seller%3DMouser%26sku%3D621-DMP2045U-7%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Diodes{URL.TIP}Component|Unknown|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DDiodes%26mpn%3DDMP2045U-7%26seller%3DMouser%26sku%3D621-DMP2045U-7%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}DMP2045U-7{URL.TIP}Manufacturer|2|Mouser|USD|200|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DDiodes%26mpn%3DDMP2045U-7%26seller%3DMouser%26sku%3D621-DMP2045U-7%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}621-DMP2045U-7{URL.TIP}Supplier|6076|24.8|0.25|0.12
8|||SURGE SUPP 8VC 2-CIRCUIT 20WQFN|TPD8S300RUKR|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DTPD8S300RUKR%26seller%3DMouser%26sku%3D595-TPD8S300RUKR%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Texas%20Instruments{URL.TIP}Component|Unknown|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DTPD8S300RUKR%26seller%3DMouser%26sku%3D595-TPD8S300RUKR%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}TPD8S300RUKR{URL.TIP}Manufacturer|1|Mouser|USD|100|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DTexas%2520Instruments%26mpn%3DTPD8S300RUKR%26seller%3DMouser%26sku%3D595-TPD8S300RUKR%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}595-TPD8S300RUKR{URL.TIP}Supplier|27403|174|1.74|1.74
9|||Switch Tact 6mm 100gf h=4.3mm|PTS645SM43SMTR|{URL}{URL.TEXT}{URL.TIP}Component||{URL}{URL.TEXT}{URL.TIP}Manufacturer|1||||{URL}{URL.TEXT}{URL.TIP}Supplier||||
10|||Tactile Switch|EVPAWCD4A|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DEVPAWCD4A%26seller%3DDigi-Key%26sku%3DP123439CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26{URL.TEXT}Panasonic{URL.TIP}Component|Unknown|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DEVPAWCD4A%26seller%3DDigi-Key%26sku%3DP123439CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}EVPAWCD4A{URL.TIP}Manufacturer|2|Digi-Key|USD|200|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DPanasonic%26mpn%3DEVPAWCD4A%26seller%3DDigi-Key%26sku%3DP123439CT-ND%26country%3DUS%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}P123439CT-ND{URL.TIP}Supplier|19152|73.48|0.73|0.37
